TypeError: 'undefined' is not an object (evaluating 'EP.Resource.columnDefs')

  http://www.wxyz.com/html/js/endplay/PaywallUtil.js?epversion=47298:1
'1','inner','/about-us/staff','',' : over50Multi : shortString'
'-6','more','http://www.wxyz.com/about-us','',' : under50Multi : shortString'
'7','hide-desktop','http://www.wxyz.com/traffic','All Traffic',' : under50Multi'
'37','inner','/traffic','7 Traffic NowCheck your commute with 7 Traffic Now!',' : over50Multi : longString : 2pSpaces'
'34','inner','/traffic','Latest construction alertsAvoid trouble spots on your commute by checking the latest construction alerts!',' : over50Multi : longString : 2pSpaces'
'-1','more','http://www.wxyz.com/traffic','MORE TRAFFIC',' : under50Multi'
'7','hide-desktop','http://www.wxyz.com/weather','All Weather',' : under50Multi'
'-3','navitron__links','http://www.wxyz.com/weather/forecast/todays-forecast/latestforecast','',' : under50Multi : shortString'
'-3','navitron__links','http://www.wxyz.com/weather/7-day','',' : under50Multi : shortString'
'-3','navitron__links','http://www.wxyz.com/weather/school-closings','',' : under50Multi : shortString'
'-3','navitron__links','http://www.wxyz.com/weather/alerts','',' : under50Multi : shortString'
'-3','navitron__links','http://www.wxyz.com/radars-maps','',' : under50Multi : shortString'
'37','inner','/weather/forecast/todays-forecast/latestforecast','FORECAST: Wet and windy this eveningShowers and drizzle will be blown out of the area by strong winds.  Colder air will be blown in. It could be cold enough to make it snow.',' : over50Multi : longString : 2pSpaces'
'0','more','http://www.wxyz.com/weather','MORE WEATHER',' : under50Multi'
'28','inner','/money/consumer/dont-waste-your-money/moms-a-genius-former-flight-attendant-flying-high-with-brighton-cheese-and-crepe-market','Former flight attendant flying high with marketFormer flight attendant flying high with Brighton cheese and crepe market14 SHARES',' : under50Multi : longString : 2pSpaces'
'28','inner','/money/consumer/dont-waste-your-money/freebie-friday','Freebie FridayScore some great deals today!',' : under50Multi : longString : 2pSpaces'
'28','inner','/lifestyle/new-kind-of-video-game-inspires-empathy','Video games that inspire empathyWhile violent video games are often said to desensitize people to violence, other games are getting noticed for doing just the opposite,…15 SHARES',' : under50Multi : longString : 2pSpaces'
'28','inner','/money/consumer/dont-waste-your-money/consumer-reports-says-nexium-and-drugs-like-it-are-overused-we-look-at-cheaper-alternatives','Overuse of #1 Prescription DrugConsumer Reports says Nexium, and drugs like it, are overused... We look at cheaper alternatives2 SHARES',' : under50Multi : longString : 2pSpaces'
'28','inner','/money/consumer/dont-waste-your-money/consumer-reports-compares-the-swiffer-sweeper-to-the-dyson-hard','Dyson Vs. SwifferConsumer Reports compares the Swiffer Sweeper to the Dyson Hard',' : under50Multi : longString : 2pSpaces'
'28','inner','/money/consumer/dont-waste-your-money/consumer-reports-tests-touch-up-products-that-claim-to-stretch-the-time-between-hair-colorings','Keeping the gray at bayConsumer Reports tests touch-up products that claim to stretch the time between hair colorings',' : under50Multi : longString : 2pSpaces'
'28','inner','/money/consumer/dont-waste-your-money/local-mom-helps-other-moms-realize-their-dreams-as-ceo-of-mom-biz-coach','Mom helps other moms realize their dreamsLocal mom helps other moms realize their dreams, as CEO of Mom Biz Coach42 SHARES',' : under50Multi : longString : 2pSpaces'
'28','inner','/money/consumer/dont-waste-your-money/consumer-reports-testers-uncover-problems-with-some-appliances','Appliance problemsConsumer Reports testers uncover problems with some appliances6 SHARES',' : under50Multi : longString : 2pSpaces'
'28','inner','/money/consumer/dont-waste-your-money/consumer-reports-put-paper-towels-to-the-test','Best paper towelsOur partners at Consumer Reports put paper towels to some tough tests so you don't waste your money. We have the results.2 SHARES',' : under50Multi : longString : 2pSpaces'
'29','inner','/money/auto-news/general-motors-ceo-mary-barra-apologizes-for-deaths-related-to-delayed-recall-of-gm-cars',' Before hand-picked reporters, GM CEO apologizesChannel 7, other media not invited to today's meeting Mary Barra.',' : under50Multi : longString : 2pSpaces'
'29','inner','/money/business-news/graco-adds-more-than-403000-child-seats-to-38-million-recalled',' Graco adds 403K car seats to 3.8M recalledGraco Children's Products has added more than 403,000 child seats to last month's recall of 3.8 million to replace faulty harness buckles.',' : under50Multi : longString : 2pSpaces'
'29','inner','/money/business-news/chrysler-recalls-49000-chargers-to-fix-headlights',' Chrysler recalls 49K Chargers to fix headlightsChrysler is recalling more than 49,000 Dodge Charger muscle cars because a connector can overheat and knock out low-beam headlights.',' : under50Multi : longString : 2pSpaces'
'29','inner','/news/region/detroit/shinola-donates-clocks-for-display-in-detroit',' Shinola donates clocks for display in DetroitA company that makes handcrafted wristwatches in Detroit is donating four clocks for display in the city.',' : under50Multi : longString : 2pSpaces'
'29','inner','/money/auto-news/general-motors-ceo-mary-barra-expected-to-speak-at-university-of-michigan-commencement',' GM chief exec. to speak at UM commencementA person familiar with the event says that new General Motors chief executive Mary Barra is expected to speak at the University of…',' : under50Multi : longString : 2pSpaces'
'29','inner','/money/business-news/dispute-delays-redevelopment-of-blighted-packard-plant',' Dispute delays redevelopment of Packard plantThe owner of Detroit's blighted Packard car plant complex says his redevelopment efforts have been delayed by a dispute with an ex-owner.',' : under50Multi : longString : 2pSpaces'
'29','inner','/money/auto-news/general-motors-ceo-mary-barra-apologizes-for-deaths-related-to-delayed-recall-of-gm-cars',' Before hand-picked reporters, GM CEO apologizesChannel 7, other media not invited to today's meeting Mary Barra.',' : under50Multi : longString : 2pSpaces'
'29','inner','/money/consumer/recalls/no-recall-issued-for-popular-fisher-price-seahorse-toy-despite-fire-safety-concerns-',' No recall for popular toy despite fire hazardAn investigation from Scripps Denver station KMGH has revealed serious safety concerns about one of the most popular children's toys on the…',' : under50Multi : longString : 2pSpaces'
'29','inner','/news/10k-genie-garage-door-openers-recalled-due-to-overheating-issue',' 10K Genie garage door openers recalledThe U.S. Consumer Product Safety Commission is issuing a recall for Genie garage door openers because of an overheating issue.',' : under50Multi : longString : 2pSpaces'
'29','inner','/news/191k-teething-toys-recalled-over-choking-risk',' 191K teething toys recalled over choking riskToy maker Infantino is recalling 191,000 teething toys sold exclusively at Target because a child could potentially choke on one of…',' : under50Multi : longString : 2pSpaces'
